cohort,domain,seed,arm,gate,budget,random_repetitions,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction,safe_disruption_count,safe_disruption_rate,unrouted_unsafe_false_allows,safe_abstain_model,safe_abstain_technical,safe_abstain_input_overflow,unsafe_abstain_model,unsafe_abstain_technical,unsafe_abstain_input_overflow,correct_random_sd,abstain_random_sd,N_unsafe_random_sd,N_safe_random_sd,TP_random_sd,TN_random_sd,FP_random_sd,FN_random_sd,abstain_unsafe_random_sd,abstain_safe_random_sd,routed_random_sd,S_fit_N_random_sd,S_overflow_N_random_sd,S_fit_wrong_to_correct_random_sd,S_fit_correct_to_wrong_random_sd,S_fit_correct_to_abstain_random_sd,S_fit_wrong_to_abstain_random_sd,S_fit_unrouted_errors_random_sd,S_fit_correct_random_sd,S_overflow_recovery_correct_random_sd,S_overflow_recovery_wrong_random_sd,S_overflow_final_abstain_random_sd,S_overflow_unrouted_random_sd,abstain_input_overflow_random_sd,abstain_technical_random_sd,abstain_model_random_sd,abstain_rule_unsupported_random_sd,abstain_rule_unresolved_random_sd,N_random_sd,task_groups_random_sd,correct_over_N_random_sd,coverage_random_sd,unsafe_recall_all_random_sd,unsafe_recall_covered_random_sd,FPR_all_random_sd,FPR_covered_random_sd,actual_call_rate_random_sd,deployment_calls_random_sd,route_rate_random_sd,routed_input_tokens_random_sd,routed_output_tokens_random_sd,group_macro_correct_over_N_random_sd,binary_net_correction_random_sd,safe_disruption_count_random_sd,safe_disruption_rate_random_sd,unrouted_unsafe_false_allows_random_sd,safe_abstain_model_random_sd,safe_abstain_technical_random_sd,safe_abstain_input_overflow_random_sd,unsafe_abstain_model_random_sd,unsafe_abstain_technical_random_sd,unsafe_abstain_input_overflow_random_sd,run_id,source_path,experiment_source_commit
old_test_800,combined,42,,E_only,,0,82,14,35,61,25,57,0,0,10,4,0,82,14,0,0,0,0,0,82,0,0,14,14,14,0,0,0,0,96,7,0.8541666666666666,0.8541666666666666,0.7142857142857143,1.0,0.0,0.0,0.0,0,0.0,0,0,0.8587650444793302,0,4,0.06557377049180328,0,0,0,4,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/safety_compact.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,slack,42,,E_only,,0,12,0,3,9,3,9,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/safety_compact.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,workspace,42,,E_only,,0,70,14,32,52,22,48,0,0,10,4,0,70,14,0,0,0,0,0,70,0,0,14,14,14,0,0,0,0,84,6,0.8333333333333334,0.8333333333333334,0.6875,1.0,0.0,0.0,0.0,0,0.0,0,0,0.8352258852258853,0,4,0.07692307692307693,0,0,0,4,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/safety_compact.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,combined,42,L_direct,G_overflow,,0,95,0,35,61,35,60,1,0,0,0,14,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.14583333333333334,14,0.14583333333333334,32706,1025,0.989010989010989,0,1,0.01639344262295082,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/safety_compact.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,slack,42,L_direct,G_overflow,,0,12,0,3,9,3,9,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/safety_compact.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,workspace,42,L_direct,G_overflow,,0,83,0,32,52,32,51,1,0,0,0,14,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.16666666666666666,14,0.16666666666666666,32706,1025,0.9871794871794872,0,1,0.019230769230769232,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/safety_compact.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,combined,42,L_direct,L_all,,0,93,0,35,61,35,58,3,0,0,0,96,82,14,0,2,0,0,0,80,13,1,0,0,0,0,0,0,0,96,7,0.96875,1.0,1.0,1.0,0.04918032786885246,0.04918032786885246,1.0,96,1.0,171340,6521,0.9686028257456829,-2,3,0.04918032786885246,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/safety_compact.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,slack,42,L_direct,L_all,,0,12,0,3,9,3,9,0,0,0,0,12,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,12,1.0,18888,816,1.0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/safety_compact.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,workspace,42,L_direct,L_all,,0,81,0,32,52,32,49,3,0,0,0,84,70,14,0,2,0,0,0,68,13,1,0,0,0,0,0,0,0,84,6,0.9642857142857143,1.0,1.0,1.0,0.057692307692307696,0.057692307692307696,1.0,84,1.0,152452,5705,0.9633699633699634,-2,3,0.057692307692307696,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/safety_compact.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,combined,42,L_direct,G_uncertainty,0.1,0,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,39997,1312,0.989010989010989,0,1,0.01639344262295082,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/safety_compact.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
