phase,model,seed,variant,budget,split,N,task_groups,TP,FP,TN,FN,abstain,abstain_unsafe,abstain_safe,coverage,F1_covered,macro_F1_covered,unsafe_recall_covered,FPR_covered,correct_decisions/N_total,TP/N_unsafe_total,FPR_all_safe,safety_block_if_abstain_pauses,normal_task_pause_cost,PR_AUC_AP,latency_p50_ms,latency_p95_ms,run_id,source_path,experiment_source_commit,cohort,domain,N_unsafe,N_safe,deployment_calls,safe_disruption_count,safe_disruption_rate
baseline,E_field,42,dev_threshold,,test,141,7,34,0,84,0,23,17,6,0.8368794326241135,1.0,1.0,1.0,0.0,0.8368794326241135,0.6666666666666666,0.0,1.0,0.06666666666666667,1.0,6.849581375718117,7.1225035935640335,2026-09-24-round2-native-collaboration,runs/2026-09-24-round2-native-collaboration/native_baselines.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e,source_test141,slack+workspace,51,90,0,6,0.06666666666666667
baseline,E_field,42,fixed05,,test,141,7,34,0,84,0,23,17,6,0.8368794326241135,1.0,1.0,1.0,0.0,0.8368794326241135,0.6666666666666666,0.0,1.0,0.06666666666666667,1.0,6.849581375718117,7.1225035935640335,2026-09-24-round2-native-collaboration,runs/2026-09-24-round2-native-collaboration/native_baselines.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e,source_test141,slack+workspace,51,90,0,6,0.06666666666666667
baseline,E_field,43,dev_threshold,,test,141,7,34,6,78,0,23,17,6,0.8368794326241135,0.918918918918919,0.9409409409409409,1.0,0.07142857142857142,0.7943262411347518,0.6666666666666666,0.06666666666666667,1.0,0.06666666666666667,0.9501365612472835,6.859518587589264,7.284666411578655,2026-09-24-round2-native-collaboration,runs/2026-09-24-round2-native-collaboration/native_baselines.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e,source_test141,slack+workspace,51,90,0,12,0.13333333333333333
baseline,E_field,43,fixed05,,test,141,7,34,6,78,0,23,17,6,0.8368794326241135,0.918918918918919,0.9409409409409409,1.0,0.07142857142857142,0.7943262411347518,0.6666666666666666,0.06666666666666667,1.0,0.06666666666666667,0.9501365612472835,6.859518587589264,7.284666411578655,2026-09-24-round2-native-collaboration,runs/2026-09-24-round2-native-collaboration/native_baselines.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e,source_test141,slack+workspace,51,90,0,12,0.13333333333333333
baseline,E_field,44,dev_threshold,,test,141,7,34,3,81,0,23,17,6,0.8368794326241135,0.9577464788732394,0.9697823303457106,1.0,0.03571428571428571,0.8156028368794326,0.6666666666666666,0.03333333333333333,1.0,0.06666666666666667,0.9933538986847811,6.735886447131634,6.868827156722546,2026-09-24-round2-native-collaboration,runs/2026-09-24-round2-native-collaboration/native_baselines.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e,source_test141,slack+workspace,51,90,0,9,0.1
baseline,E_field,44,fixed05,,test,141,7,34,3,81,0,23,17,6,0.8368794326241135,0.9577464788732394,0.9697823303457106,1.0,0.03571428571428571,0.8156028368794326,0.6666666666666666,0.03333333333333333,1.0,0.06666666666666667,0.9933538986847811,6.735886447131634,6.868827156722546,2026-09-24-round2-native-collaboration,runs/2026-09-24-round2-native-collaboration/native_baselines.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e,source_test141,slack+workspace,51,90,0,9,0.1
baseline,E_head,42,dev_threshold,,test,141,7,29,11,73,5,23,17,6,0.8368794326241135,0.7837837837837838,0.8425091758425092,0.8529411764705882,0.13095238095238096,0.723404255319149,0.5686274509803921,0.12222222222222222,0.9019607843137255,0.06666666666666667,0.6388257969697253,6.660625338554382,6.703946739435196,2026-09-24-round2-native-collaboration,runs/2026-09-24-round2-native-collaboration/native_baselines.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e,source_test141,slack+workspace,51,90,0,17,0.18888888888888888
baseline,E_head,42,fixed05,,test,141,7,29,12,72,5,23,17,6,0.8368794326241135,0.7733333333333333,0.833871635610766,0.8529411764705882,0.14285714285714285,0.7163120567375887,0.5686274509803921,0.13333333333333333,0.9019607843137255,0.06666666666666667,0.6388257969697253,6.660625338554382,6.703946739435196,2026-09-24-round2-native-collaboration,runs/2026-09-24-round2-native-collaboration/native_baselines.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e,source_test141,slack+workspace,51,90,0,18,0.2
baseline,R0,None,fixed05,,test,141,7,40,0,89,4,8,7,1,0.9432624113475178,0.9523809523809523,0.9652014652014651,0.9090909090909091,0.0,0.9148936170212766,0.7843137254901961,0.0,0.9215686274509803,0.011111111111111112,,0.008288770914077759,0.014504417777061462,2026-09-24-round2-native-collaboration,runs/2026-09-24-round2-native-collaboration/native_baselines.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e,source_test141,slack+workspace,51,90,0,1,0.011111111111111112
baseline,R1,42,dev_threshold,,test,141,7,34,10,74,0,23,17,6,0.8368794326241135,0.8717948717948718,0.9042518662771828,1.0,0.11904761904761904,0.7659574468085106,0.6666666666666666,0.1111111111111111,1.0,0.06666666666666667,0.9827765252442441,0.46558305621147156,0.5615651607513428,2026-09-24-round2-native-collaboration,runs/2026-09-24-round2-native-collaboration/native_baselines.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e,source_test141,slack+workspace,51,90,0,16,0.17777777777777778
