model,seed,cohort,n,TP,FP,TN,FN,abstain,F1_covered,unsafe_recall_all,FPR_all,PR_AUC_AP_covered,PairAcc,invariance_consistency,accuracy_all,run_id,source_path,experiment_source_commit
B2,42,evaluation_exploratory,24,12,12,0,0,0,0.6666666666666666,1.0,1.0,0.7646208845857183,0.0,1.0,0.5,2026-09-24-p0-b234,runs/2026-09-24-p0-b234/results.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
B2,43,evaluation_exploratory,24,8,4,8,4,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6429838880925838,0.0,1.0,0.6666666666666666,2026-09-24-p0-b234,runs/2026-09-24-p0-b234/results.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
B2,44,evaluation_exploratory,24,4,5,7,8,0,0.38095238095238093,0.3333333333333333,0.4166666666666667,0.5565560467940498,0.125,0.875,0.4583333333333333,2026-09-24-p0-b234,runs/2026-09-24-p0-b234/results.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
B3,42,evaluation_exploratory,24,0,0,12,12,0,0.0,0.0,0.0,0.682246103569633,0.0,1.0,0.5,2026-09-24-p0-b234,runs/2026-09-24-p0-b234/results.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
B3,43,evaluation_exploratory,24,4,0,12,8,0,0.5,0.3333333333333333,0.0,0.9752747252747254,0.25,1.0,0.6666666666666666,2026-09-24-p0-b234,runs/2026-09-24-p0-b234/results.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
B3,44,evaluation_exploratory,24,6,3,9,6,0,0.5714285714285714,0.5,0.25,0.8271899668958492,0.125,0.875,0.625,2026-09-24-p0-b234,runs/2026-09-24-p0-b234/results.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
B4,42,evaluation_exploratory,24,0,0,12,12,0,0.0,0.0,0.0,0.8835024928774929,0.0,1.0,0.5,2026-09-24-p0-b234,runs/2026-09-24-p0-b234/results.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
B4,43,evaluation_exploratory,24,6,2,10,6,0,0.6,0.5,0.16666666666666666,0.876326913826914,0.125,1.0,0.6666666666666666,2026-09-24-p0-b234,runs/2026-09-24-p0-b234/results.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
B4,44,evaluation_exploratory,24,6,3,9,6,0,0.5714285714285714,0.5,0.25,0.7671838779175735,0.25,1.0,0.625,2026-09-24-p0-b234,runs/2026-09-24-p0-b234/results.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
B0,,evaluation_exploratory,24,12,0,12,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2026-09-24-p0-b234,runs/2026-09-24-p0-b234/results.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
