cohort,seed,gate,budget,random_seed,domain,N,contrast,corrected,introduced,correct_to_abstain,wrong_to_abstain,abstain_to_correct,TP_delta,FP_delta,fit_corrected,fit_introduced,run_id,source_path,experiment_source_commit
old_test_800,42,G_uncertainty,0.1,,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/same_gate_contrasts.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,42,G_uncertainty,0.1,,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/same_gate_contrasts.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,42,G_uncertainty,0.1,,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/same_gate_contrasts.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,42,G_uncertainty,0.25,,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/same_gate_contrasts.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,42,G_uncertainty,0.25,,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/same_gate_contrasts.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,42,G_uncertainty,0.25,,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/same_gate_contrasts.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,42,G_uncertainty,0.5,,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/same_gate_contrasts.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,42,G_uncertainty,0.5,,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/same_gate_contrasts.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,42,G_uncertainty,0.5,,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/same_gate_contrasts.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
old_test_800,43,G_uncertainty,0.1,,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0,2026-09-24-scheme-selection-closeout,runs/2026-09-24-scheme-selection-closeout/same_gate_contrasts.csv,614b4d40102d78d606a0f37bc8b678d7eec67d4e
