model,seed,cohort,n,TP,FP,TN,FN,abstain,F1_covered,unsafe_recall_all,FPR_all,PR_AUC_AP_covered,PairAcc,invariance_consistency,accuracy_all
B0,,diagnostic_development,120,60,0,60,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
B0,,native_static_all,944,230,5,630,24,55,0.9406952965235174,0.782312925170068,0.007692307692307693,0.9132422277002609,,,0.9110169491525424
B0,,native_static_matched,32,7,0,22,1,2,0.9333333333333333,0.7,0.0,0.9083333333333333,,,0.90625
P0_LLM_evidence,,diagnostic_development,120,53,6,53,6,2,0.8983050847457628,0.8833333333333333,0.1,0.8577994829072105,0.75,0.95,0.8833333333333333
P0_LLM_evidence,,native_static_matched,32,3,0,13,0,16,1.0,0.3,0.0,1.0,,,0.5
B2,42,dev,12,6,6,0,0,0,0.6666666666666666,1.0,1.0,0.5814814814814815,0.0,1.0,0.5
B2,42,evaluation_exploratory,24,12,12,0,0,0,0.6666666666666666,1.0,1.0,0.7646208845857183,0.0,1.0,0.5
B2,42,native_evaluation_exploratory,32,10,22,0,0,0,0.47619047619047616,1.0,1.0,0.44768231768231764,,,0.3125
B2,42,native_untruncated_exploratory,1,0,1,0,0,0,0.0,,1.0,,,,0.0
B2,43,dev,12,4,2,4,2,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6746031746031746,0.0,1.0,0.6666666666666666
B2,43,evaluation_exploratory,24,8,4,8,4,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6429838880925838,0.0,1.0,0.6666666666666666
B2,43,native_evaluation_exploratory,32,8,7,15,2,0,0.64,0.8,0.3181818181818182,0.6234426194720313,,,0.71875
B2,43,native_untruncated_exploratory,1,0,0,1,0,0,,,0.0,,,,1.0
B2,44,dev,12,6,5,1,0,0,0.7058823529411765,1.0,0.8333333333333334,0.8,0.0,0.75,0.5833333333333334
B2,44,evaluation_exploratory,24,4,5,7,8,0,0.38095238095238093,0.3333333333333333,0.4166666666666667,0.5565560467940498,0.125,0.875,0.4583333333333333
B2,44,native_evaluation_exploratory,32,8,11,11,2,0,0.5517241379310345,0.8,0.5,0.38829078329078326,,,0.59375
B2,44,native_untruncated_exploratory,1,0,0,1,0,0,,,0.0,,,,1.0
B3,42,dev,12,0,0,6,6,0,0.0,0.0,0.0,0.744047619047619,0.0,1.0,0.5
B3,42,evaluation_exploratory,24,0,0,12,12,0,0.0,0.0,0.0,0.682246103569633,0.0,1.0,0.5
B3,42,native_evaluation_exploratory,32,0,0,22,10,0,0.0,0.0,0.0,0.34957995951417,,,0.6875
B3,42,native_untruncated_exploratory,1,0,0,1,0,0,,,0.0,,,,1.0
B3,43,dev,12,4,1,5,2,0,0.7272727272727273,0.6666666666666666,0.16666666666666666,0.8357142857142856,0.25,1.0,0.75
B3,43,evaluation_exploratory,24,4,0,12,8,0,0.5,0.3333333333333333,0.0,0.9752747252747254,0.25,1.0,0.6666666666666666
B3,43,native_evaluation_exploratory,32,6,4,18,4,0,0.6,0.6,0.18181818181818182,0.6590002154708039,,,0.75
B3,43,native_untruncated_exploratory,1,0,0,1,0,0,,,0.0,,,,1.0
B3,44,dev,12,6,6,0,0,0,0.6666666666666666,1.0,1.0,0.3702020202020202,0.0,1.0,0.5
B3,44,evaluation_exploratory,24,6,3,9,6,0,0.5714285714285714,0.5,0.25,0.8271899668958492,0.125,0.875,0.625
B3,44,native_evaluation_exploratory,32,10,22,0,0,0,0.47619047619047616,1.0,1.0,0.7355463980463981,,,0.3125
B3,44,native_untruncated_exploratory,1,0,1,0,0,0,0.0,,1.0,,,,0.0
B4,42,dev,12,5,0,6,1,0,0.9090909090909091,0.8333333333333334,0.0,1.0,0.75,1.0,0.9166666666666666
B4,42,evaluation_exploratory,24,0,0,12,12,0,0.0,0.0,0.0,0.8835024928774929,0.0,1.0,0.5
B4,42,native_evaluation_exploratory,32,0,0,22,10,0,0.0,0.0,0.0,0.35353513197216924,,,0.6875
B4,42,native_untruncated_exploratory,1,0,0,1,0,0,,,0.0,,,,1.0
B4,43,dev,12,6,6,0,0,0,0.6666666666666666,1.0,1.0,0.46464646464646464,0.0,1.0,0.5
B4,43,evaluation_exploratory,24,6,2,10,6,0,0.6,0.5,0.16666666666666666,0.876326913826914,0.125,1.0,0.6666666666666666
B4,43,native_evaluation_exploratory,32,6,2,20,4,0,0.6666666666666666,0.6,0.09090909090909091,0.6059623709623709,,,0.8125
B4,43,native_untruncated_exploratory,1,0,0,1,0,0,,,0.0,,,,1.0
B4,44,dev,12,6,6,0,0,0,0.6666666666666666,1.0,1.0,0.7579365079365079,0.0,1.0,0.5
B4,44,evaluation_exploratory,24,6,3,9,6,0,0.5714285714285714,0.5,0.25,0.7671838779175735,0.25,1.0,0.625
B4,44,native_evaluation_exploratory,32,8,5,17,2,0,0.6956521739130435,0.8,0.22727272727272727,0.76335005574136,,,0.78125
B4,44,native_untruncated_exploratory,1,0,0,1,0,0,,,0.0,,,,1.0
B0,,evaluation_exploratory,24,12,0,12,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
