model,seed,variant,status,N,F1_covered,macro_F1_covered,coverage
E_field,42,dev_threshold,COMPLETED,141,1.0,1.0,0.8368794326241135
E_field,42,fixed05,COMPLETED,141,1.0,1.0,0.8368794326241135
E_field,43,dev_threshold,COMPLETED,141,0.918918918918919,0.9409409409409409,0.8368794326241135
E_field,43,fixed05,COMPLETED,141,0.918918918918919,0.9409409409409409,0.8368794326241135
E_field,44,dev_threshold,COMPLETED,141,0.9577464788732394,0.9697823303457106,0.8368794326241135
E_field,44,fixed05,COMPLETED,141,0.9577464788732394,0.9697823303457106,0.8368794326241135
E_head,42,dev_threshold,COMPLETED,141,0.7837837837837838,0.8425091758425092,0.8368794326241135
E_head,42,fixed05,COMPLETED,141,0.7733333333333333,0.833871635610766,0.8368794326241135
R0,None,fixed05,COMPLETED,141,0.9523809523809523,0.9652014652014651,0.9432624113475178
R1,42,dev_threshold,COMPLETED,141,0.8717948717948718,0.9042518662771828,0.8368794326241135
R1,42,fixed05,COMPLETED,141,0.9375,0.9571220930232558,0.8368794326241135
R1,43,dev_threshold,COMPLETED,141,0.8717948717948718,0.9042518662771828,0.8368794326241135
R1,43,fixed05,COMPLETED,141,0.9375,0.9571220930232558,0.8368794326241135
R1,44,dev_threshold,COMPLETED,141,0.8717948717948718,0.9042518662771828,0.8368794326241135
R1,44,fixed05,COMPLETED,141,0.9375,0.9571220930232558,0.8368794326241135
majority,None,fixed05,COMPLETED,141,0.0,0.38961038961038963,1.0
P2_complete_protocol_effect,,,BLOCKED_SERVICE_BALANCE,,,,
successful_live_LLM_cascade,,,BLOCKED_SERVICE_BALANCE,,,,
E_generic,,,NOT_RUN,,,,
E_relation,,,NOT_RUN,,,,
RL,,,NOT_RUN,,,,
GUI,,,NOT_RUN,,,,
full_ShieldAgent,,,NOT_RUN,,,,
