phase,model,seed,variant,budget,split,N,task_groups,TP,FP,TN,FN,abstain,abstain_unsafe,abstain_safe,coverage,F1_covered,macro_F1_covered,unsafe_recall_covered,FPR_covered,correct_decisions/N_total,TP/N_unsafe_total,FPR_all_safe,safety_block_if_abstain_pauses,normal_task_pause_cost,PR_AUC_AP,latency_p50_ms,latency_p95_ms,routed,routed_teacher_valid_outputs,routed_teacher_unavailable,corrected_errors,introduced_errors,correct_to_abstain,wrong_to_abstain,unrouted_binary_errors,unrouted_abstentions,cached_deployment_token_estimate,call_rate,valid_model_outputs,technical_fallbacks,protocol_effect_status
cached_cascade,E_to_L_direct,42,fixed05,0.1,test,96,7,21,0,57,0,18,14,4,0.8125,1.0,1.0,1.0,0.0,0.8125,0.6,0.0,1.0,0.06557377049180328,,6.90485630184412,2331.0810000002675,18,0,18,0,0,4,0,0,0,0,0.1875,0,18,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,42,fixed05,0.25,test,96,7,0,0,57,0,39,35,4,0.59375,0.0,0.5,,0.0,0.59375,0.0,0.0,1.0,0.06557377049180328,,6.993812508881092,2407.158495994736,39,0,39,0,0,25,0,0,0,0,0.40625,0,39,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,42,fixed05,0.5,test,96,7,0,0,46,0,50,35,15,0.4791666666666667,0.0,0.5,,0.0,0.4791666666666667,0.0,0.0,1.0,0.2459016393442623,,2119.0918800784857,2438.161434389258,50,0,50,0,0,36,0,0,0,0,0.5208333333333334,0,50,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,43,fixed05,0.1,test,96,7,23,0,53,0,20,12,8,0.7916666666666666,1.0,1.0,1.0,0.0,0.7916666666666666,0.6571428571428571,0.0,1.0,0.13114754098360656,,6.935379933565855,2336.691874999815,20,0,20,0,0,3,3,0,0,0,0.20833333333333334,0,20,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,43,fixed05,0.25,test,96,7,4,0,53,0,39,31,8,0.59375,1.0,1.0,1.0,0.0,0.59375,0.11428571428571428,0.0,1.0,0.13114754098360656,,6.96393009275198,2418.031929679273,39,0,39,0,0,22,3,0,0,0,0.40625,0,39,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,43,fixed05,0.5,test,96,7,0,0,39,0,57,35,22,0.40625,0.0,0.5,,0.0,0.40625,0.0,0.0,1.0,0.36065573770491804,,2168.9132999999856,2537.5921968334296,57,0,57,0,0,40,3,0,0,0,0.59375,0,57,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,44,fixed05,0.1,test,96,7,23,2,48,0,23,12,11,0.7604166666666666,0.9583333333333334,0.9689625850340136,1.0,0.04,0.7395833333333334,0.6571428571428571,0.03278688524590164,1.0,0.18032786885245902,,6.7881629802286625,2336.691874999815,23,0,23,0,0,9,0,2,0,0,0.23958333333333334,0,23,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,44,fixed05,0.25,test,96,7,18,0,45,0,33,17,16,0.65625,1.0,1.0,1.0,0.0,0.65625,0.5142857142857142,0.0,1.0,0.26229508196721313,,6.819889415055513,2417.987282773538,33,0,33,0,0,17,2,0,0,0,0.34375,0,33,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_direct,44,fixed05,0.5,test,96,7,0,0,42,0,54,35,19,0.4375,0.0,0.5,,0.0,0.4375,0.0,0.0,1.0,0.3114754098360656,,2154.8852326777705,2480.542559284004,54,0,54,0,0,38,2,0,0,0,0.5625,0,54,INCOMPLETE_SERVICE_FAILURE
cached_cascade,E_to_L_relation,42,fixed05,0.1,test,96,7,21,0,57,0,18,14,4,0.8125,1.0,1.0,1.0,0.0,0.8125,0.6,0.0,1.0,0.06557377049180328,,6.90485630184412,2332.3564950460423,18,0,18,0,0,4,0,0,0,0,0.1875,0,18,INCOMPLETE_SERVICE_FAILURE
