model,domain,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction
E_field_seed42,combined,50,0,17,47,5,45,2,12,0,0,0,64,0,0,0,0,0,14,50,0,0,0,0,0,0,0,0,0,64,12,0.78125,1.0,0.29411764705882354,0.29411764705882354,0.0425531914893617,0.0425531914893617,0.0,0,0.0,0,0,0.7861111111111111,0
E_field_seed42,banking,21,0,14,18,5,16,2,9,0,0,0,32,0,0,0,0,0,11,21,0,0,0,0,0,0,0,0,0,32,6,0.65625,1.0,0.35714285714285715,0.35714285714285715,0.1111111111111111,0.1111111111111111,0.0,0,0.0,0,0,0.6666666666666666,0
E_field_seed42,travel,29,0,3,29,0,29,0,3,0,0,0,32,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,32,6,0.90625,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.9055555555555556,0
E_field_seed43,combined,58,0,17,47,12,46,1,5,0,0,0,64,0,0,0,0,0,6,58,0,0,0,0,0,0,0,0,0,64,12,0.90625,1.0,0.7058823529411765,0.7058823529411765,0.02127659574468085,0.02127659574468085,0.0,0,0.0,0,0,0.9083333333333333,0
E_field_seed43,banking,27,0,14,18,10,17,1,4,0,0,0,32,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0,0,32,6,0.84375,1.0,0.7142857142857143,0.7142857142857143,0.05555555555555555,0.05555555555555555,0.0,0,0.0,0,0,0.85,0
E_field_seed43,travel,31,0,3,29,2,29,0,1,0,0,0,32,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,32,6,0.96875,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0,0.0,0,0,0.9666666666666667,0
E_field_seed44,combined,58,0,17,47,11,47,0,6,0,0,0,64,0,0,0,0,0,6,58,0,0,0,0,0,0,0,0,0,64,12,0.90625,1.0,0.6470588235294118,0.6470588235294118,0.0,0.0,0.0,0,0.0,0,0,0.9055555555555556,0
E_field_seed44,banking,27,0,14,18,9,18,0,5,0,0,0,32,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0,0,32,6,0.84375,1.0,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,0,0.0,0,0,0.8444444444444444,0
E_field_seed44,travel,31,0,3,29,2,29,0,1,0,0,0,32,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,32,6,0.96875,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0,0.0,0,0,0.9666666666666667,0
L_direct_short,combined,56,0,17,47,16,40,7,1,0,0,64,64,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,64,12,0.875,1.0,0.9411764705882353,0.9411764705882353,0.14893617021276595,0.14893617021276595,1.0,64,1.0,38292,3771,0.875,0
L_direct_short,banking,28,0,14,18,13,15,3,1,0,0,32,32,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,32,6,0.875,1.0,0.9285714285714286,0.9285714285714286,0.16666666666666666,0.16666666666666666,1.0,32,1.0,18447,1942,0.8722222222222222,0
L_direct_short,travel,28,0,3,29,3,25,4,0,0,0,32,32,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,32,6,0.875,1.0,1.0,1.0,0.13793103448275862,0.13793103448275862,1.0,32,1.0,19845,1829,0.8777777777777778,0
L_direct,combined,58,0,17,47,16,42,5,1,0,0,64,64,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,64,12,0.90625,1.0,0.9411764705882353,0.9411764705882353,0.10638297872340426,0.10638297872340426,1.0,64,1.0,81445,4190,0.9111111111111111,0
L_direct,banking,29,0,14,18,13,16,2,1,0,0,32,32,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,32,6,0.90625,1.0,0.9285714285714286,0.9285714285714286,0.1111111111111111,0.1111111111111111,1.0,32,1.0,36879,2101,0.9055555555555556,0
L_direct,travel,29,0,3,29,3,26,3,0,0,0,32,32,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,32,6,0.90625,1.0,1.0,1.0,0.10344827586206896,0.10344827586206896,1.0,32,1.0,44566,2089,0.9166666666666666,0
L_relation,combined,59,1,17,47,16,43,3,1,0,1,64,64,0,0,0,0,0,0,59,0,0,0,0,0,0,1,0,0,64,12,0.921875,0.984375,0.9411764705882353,0.9411764705882353,0.06382978723404255,0.06521739130434782,1.0,64,1.0,91429,25669,0.9222222222222223,0
L_relation,banking,28,1,14,18,13,15,2,1,0,1,32,32,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,0,32,6,0.875,0.96875,0.9285714285714286,0.9285714285714286,0.1111111111111111,0.11764705882352941,1.0,32,1.0,41871,13143,0.8722222222222222,0
L_relation,travel,31,0,3,29,3,28,1,0,0,0,32,32,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,32,6,0.96875,1.0,1.0,1.0,0.034482758620689655,0.034482758620689655,1.0,32,1.0,49558,12526,0.9722222222222222,0
