cohort,seed,arm,gate,budget,random_seed,domain,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction,incremental_calls_vs_overflow,incremental_correct_vs_overflow
old_test_800,42,,E_only,,,combined,82,14,35,61,25,57,0,0,10,4,0,82,14,0,0,0,0,0,82,0,0,14,14,14,0,0,0,0,96,7,0.8541666666666666,0.8541666666666666,0.7142857142857143,1.0,0.0,0.0,0.0,0,0.0,0,0,0.8587650444793302,0,,
old_test_800,42,L_direct,G_overflow,,,combined,95,0,35,61,35,60,1,0,0,0,14,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.14583333333333334,14,0.14583333333333334,32706,1025,0.989010989010989,0,0,0
old_test_800,42,L_direct,L_all,,,combined,93,0,35,61,35,58,3,0,0,0,96,82,14,0,2,0,0,0,80,13,1,0,0,0,0,0,0,0,96,7,0.96875,1.0,1.0,1.0,0.04918032786885246,0.04918032786885246,1.0,96,1.0,171340,6521,0.9686028257456829,-2,82,-2
old_test_800,42,L_direct,G_uncertainty,0.1,,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,39997,1312,0.989010989010989,0,4,0
old_test_800,42,L_direct,G_random,0.1,0,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,37213,1281,0.989010989010989,0,4,0
old_test_800,42,L_direct,G_random,0.1,1,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,37879,1281,0.989010989010989,0,4,0
old_test_800,42,L_direct,G_random,0.1,2,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,38049,1274,0.989010989010989,0,4,0
old_test_800,42,L_direct,G_random,0.1,3,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,38761,1293,0.989010989010989,0,4,0
old_test_800,42,L_direct,G_random,0.1,4,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,38530,1295,0.989010989010989,0,4,0
old_test_800,42,L_direct,G_random,0.1,5,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,44064,1343,0.989010989010989,0,4,0
