cohort,domain,seed,arm,budget,repetitions,correct_mean,correct_sd,correct_over_N_mean,correct_over_N_sd,binary_net_correction_mean,binary_net_correction_sd,actual_call_rate_mean,actual_call_rate_sd,incremental_correct_vs_overflow_mean,incremental_correct_vs_overflow_sd,group_macro_correct_over_N_mean,group_macro_correct_over_N_sd
old_test_800,combined,42,L_direct,0.1,20,95,0.0,0.9895833333333334,0.0,0,0.0,0.1875,0.0,0,0.0,0.989010989010989,0.0
old_test_800,combined,42,L_direct,0.25,20,94.4,0.7539370349250519,0.9833333333333334,0.007853510780469313,-0.6,0.7539370349250519,0.40625,0.0,-0.6,0.7539370349250519,0.9828885400313973,0.0076932350502556405
old_test_800,combined,42,L_direct,0.5,20,94.25,0.5501196042201808,0.9817708333333334,0.005730412543960245,-0.75,0.5501196042201808,0.5208333333333334,0.0,-0.75,0.5501196042201808,0.9813579277864992,0.005613465349185525
old_test_800,combined,42,L_relation,0.1,20,94,0.0,0.9791666666666666,0.0,0,0.0,0.1875,0.0,0,0.0,0.9794871794871794,0.0
old_test_800,combined,42,L_relation,0.25,20,93.8,0.41039134083406165,0.9770833333333333,0.004274909800354793,-0.2,0.41039134083406165,0.40625,0.0,-0.2,0.41039134083406165,0.9774463631606488,0.004187666743204669
old_test_800,combined,42,L_relation,0.5,20,93.75,0.44426165831931924,0.9765625,0.004627725607492893,-0.25,0.44426165831931924,0.5208333333333334,0.0,-0.25,0.44426165831931924,0.9769361590790162,0.004533282227748112
old_test_800,combined,43,L_direct,0.1,20,92.2,0.6155870112510925,0.9604166666666667,0.006412364700532213,0.2,0.6155870112510925,0.20833333333333334,0.0,0.2,0.6155870112510925,0.9604395604395605,0.0062815001148070725
old_test_800,combined,43,L_direct,0.25,20,92.5,1.3572417850765923,0.9635416666666666,0.014137935261214494,0.5,1.3572417850765923,0.40625,0.0,0.5,1.3572417850765923,0.9635007849293564,0.013849405970169324
old_test_800,combined,43,L_direct,0.5,20,92.45,1.1459310165698642,0.9630208333333333,0.011936781422602743,0.45,1.1459310165698642,0.59375,0.0,0.45,1.1459310165698642,0.9629905808477237,0.011693173638468014
old_test_800,combined,43,L_relation,0.1,20,91.25,0.5501196042201808,0.9505208333333334,0.005730412543960245,0.25,0.5501196042201808,0.20833333333333334,0.0,0.25,0.5501196042201808,0.9514259549973836,0.005613465349185525
old_test_800,combined,43,L_relation,0.25,20,91.85,1.0894228312566052,0.9567708333333333,0.011348154492256313,0.85,1.0894228312566052,0.40625,0.0,0.85,1.0894228312566052,0.9575484039769755,0.011116559502618435
old_test_800,combined,43,L_relation,0.5,20,92,0.9176629354822471,0.9583333333333334,0.009558988911273417,1,0.9176629354822471,0.59375,0.0,1,0.9176629354822471,0.9590790162218734,0.009363907504920898
old_test_800,combined,44,L_direct,0.1,20,92.95,0.5104177855340404,0.9682291666666667,0.0053168519326462355,-0.05,0.5104177855340404,0.23958333333333334,0.0,-0.05,0.5104177855340404,0.9680926216640503,0.005208344750347357
old_test_800,combined,44,L_direct,0.25,20,92.75,0.8506963092234007,0.9661458333333334,0.008861419887743738,-0.25,0.8506963092234007,0.34375,0.0,-0.25,0.8506963092234007,0.9660518053375197,0.008680574583912262
old_test_800,combined,44,L_direct,0.5,20,92.9,1.1192102478745307,0.9677083333333333,0.01165844008202636,-0.1,1.1192102478745307,0.5625,0.0,-0.1,1.1192102478745307,0.9675824175824176,0.011420512733413591
old_test_800,combined,44,L_relation,0.1,20,92,0.45883146774112354,0.9583333333333334,0.004779494455636712,0,0.45883146774112354,0.23958333333333334,0.0,0,0.45883146774112354,0.9590790162218734,0.004681953752460449
old_test_800,combined,44,L_relation,0.25,20,92.05,0.6048053188292994,0.9588541666666667,0.006300055404471877,0.05,0.6048053188292994,0.34375,0.0,0.05,0.6048053188292994,0.959589220303506,0.00617148284519694
