cohort,seed,arm,gate,budget,random_seed,domain,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction,incremental_calls_vs_overflow,incremental_correct_vs_overflow
transfer_2048,42,,E_only,,,combined,200,18,48,216,7,193,13,33,8,10,0,246,18,0,0,0,0,46,200,0,0,18,18,18,0,0,0,0,264,12,0.7575757575757576,0.9318181818181818,0.14583333333333334,0.175,0.06018518518518518,0.06310679611650485,0.0,0,0.0,0,0,0.7421389840658287,0,,
transfer_2048,42,,E_only,,,banking,53,0,28,59,7,46,13,21,0,0,0,87,0,0,0,0,0,34,53,0,0,0,0,0,0,0,0,0,87,6,0.6091954022988506,1.0,0.25,0.25,0.22033898305084745,0.22033898305084745,0.0,0,0.0,0,0,0.6708754208754208,0,,
transfer_2048,42,,E_only,,,travel,147,18,20,157,0,147,0,12,8,10,0,159,18,0,0,0,0,12,147,0,0,18,18,18,0,0,0,0,177,6,0.8305084745762712,0.8983050847457628,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.8134025472562364,0,,
transfer_2048,42,L_direct,G_overflow,,,combined,216,0,48,216,15,201,15,33,0,0,18,246,18,0,0,0,0,46,200,16,2,0,0,0,0,0,0,0,264,12,0.8181818181818182,1.0,0.3125,0.3125,0.06944444444444445,0.06944444444444445,0.06818181818181818,18,0.06818181818181818,47805,1337,0.7929566533702035,0,0,0
transfer_2048,42,L_direct,G_overflow,,,banking,53,0,28,59,7,46,13,21,0,0,0,87,0,0,0,0,0,34,53,0,0,0,0,0,0,0,0,0,87,6,0.6091954022988506,1.0,0.25,0.25,0.22033898305084745,0.22033898305084745,0.0,0,0.0,0,0,0.6708754208754208,0,0,0
transfer_2048,42,L_direct,G_overflow,,,travel,163,0,20,157,8,155,2,12,0,0,18,159,18,0,0,0,0,12,147,16,2,0,0,0,0,0,0,0,177,6,0.9209039548022598,1.0,0.4,0.4,0.012738853503184714,0.012738853503184714,0.1016949152542373,18,0.1016949152542373,47805,1337,0.9150378858649861,0,0,0
transfer_2048,42,L_direct,L_all,,,combined,247,0,48,216,45,202,14,3,0,0,264,246,18,40,9,0,0,0,231,16,2,0,0,0,0,0,0,0,264,12,0.9356060606060606,1.0,0.9375,0.9375,0.06481481481481481,0.06481481481481481,1.0,264,1.0,465948,17524,0.9146698044154976,31,246,31
transfer_2048,42,L_direct,L_all,,,banking,76,0,28,59,25,51,8,3,0,0,87,87,0,28,5,0,0,0,76,0,0,0,0,0,0,0,0,0,87,6,0.8735632183908046,1.0,0.8928571428571429,0.8928571428571429,0.13559322033898305,0.13559322033898305,1.0,87,1.0,96884,5815,0.8907407407407407,23,87,23
transfer_2048,42,L_direct,L_all,,,travel,171,0,20,157,20,151,6,0,0,0,177,159,18,12,4,0,0,0,155,16,2,0,0,0,0,0,0,0,177,6,0.9661016949152542,1.0,1.0,1.0,0.03821656050955414,0.03821656050955414,1.0,177,1.0,369064,11709,0.9385988680902545,8,159,8
transfer_2048,42,L_direct,G_uncertainty,0.1,,combined,236,0,48,216,26,210,6,22,0,0,50,246,18,21,1,0,0,22,220,16,2,0,0,0,0,0,0,0,264,12,0.8939393939393939,1.0,0.5416666666666666,0.5416666666666666,0.027777777777777776,0.027777777777777776,0.1893939393939394,50,0.1893939393939394,91344,3636,0.8928303907439409,20,32,20
transfer_2048,42,L_direct,G_uncertainty,0.1,,banking,73,0,28,59,18,55,4,10,0,0,32,87,0,21,1,0,0,10,73,0,0,0,0,0,0,0,0,0,87,6,0.8390804597701149,1.0,0.6428571428571429,0.6428571428571429,0.06779661016949153,0.06779661016949153,0.367816091954023,32,0.367816091954023,43539,2299,0.8706228956228956,20,32,20
transfer_2048,42,L_direct,G_uncertainty,0.1,,travel,163,0,20,157,8,155,2,12,0,0,18,159,18,0,0,0,0,12,147,16,2,0,0,0,0,0,0,0,177,6,0.9209039548022598,1.0,0.4,0.4,0.012738853503184714,0.012738853503184714,0.1016949152542373,18,0.1016949152542373,47805,1337,0.9150378858649861,0,0,0
transfer_2048,42,L_direct,G_random,0.1,0,combined,225,0,48,216,23,202,14,25,0,0,50,246,18,11,2,0,0,32,209,16,2,0,0,0,0,0,0,0,264,12,0.8522727272727273,1.0,0.4791666666666667,0.4791666666666667,0.06481481481481481,0.06481481481481481,0.1893939393939394,50,0.1893939393939394,86520,3493,0.8300357779493281,9,32,9
transfer_2048,42,L_direct,G_random,0.1,0,banking,62,0,28,59,15,47,12,13,0,0,32,87,0,11,2,0,0,20,62,0,0,0,0,0,0,0,0,0,87,6,0.7126436781609196,1.0,0.5357142857142857,0.5357142857142857,0.2033898305084746,0.2033898305084746,0.367816091954023,32,0.367816091954023,38715,2156,0.74503367003367,9,32,9
transfer_2048,42,L_direct,G_random,0.1,0,travel,163,0,20,157,8,155,2,12,0,0,18,159,18,0,0,0,0,12,147,16,2,0,0,0,0,0,0,0,177,6,0.9209039548022598,1.0,0.4,0.4,0.012738853503184714,0.012738853503184714,0.1016949152542373,18,0.1016949152542373,47805,1337,0.9150378858649861,0,0,0
transfer_2048,42,L_direct,G_random,0.1,1,combined,225,0,48,216,25,200,16,23,0,0,50,246,18,11,2,0,0,35,209,16,2,0,0,0,0,0,0,0,264,12,0.8522727272727273,1.0,0.5208333333333334,0.5208333333333334,0.07407407407407407,0.07407407407407407,0.1893939393939394,50,0.1893939393939394,83400,3491,0.8408101887237389,9,32,9
transfer_2048,42,L_direct,G_random,0.1,1,banking,62,0,28,59,17,45,14,11,0,0,32,87,0,11,2,0,0,23,62,0,0,0,0,0,0,0,0,0,87,6,0.7126436781609196,1.0,0.6071428571428571,0.6071428571428571,0.23728813559322035,0.23728813559322035,0.367816091954023,32,0.367816091954023,35595,2154,0.7665824915824916,9,32,9
transfer_2048,42,L_direct,G_random,0.1,1,travel,163,0,20,157,8,155,2,12,0,0,18,159,18,0,0,0,0,12,147,16,2,0,0,0,0,0,0,0,177,6,0.9209039548022598,1.0,0.4,0.4,0.012738853503184714,0.012738853503184714,0.1016949152542373,18,0.1016949152542373,47805,1337,0.9150378858649861,0,0,0
transfer_2048,42,L_direct,G_random,0.1,2,combined,225,0,48,216,20,205,11,28,0,0,50,246,18,10,1,0,0,35,209,16,2,0,0,0,0,0,0,0,264,12,0.8522727272727273,1.0,0.4166666666666667,0.4166666666666667,0.05092592592592592,0.05092592592592592,0.1893939393939394,50,0.1893939393939394,80745,3425,0.8324768553904055,9,32,9
transfer_2048,42,L_direct,G_random,0.1,2,banking,62,0,28,59,12,50,9,16,0,0,32,87,0,10,1,0,0,23,62,0,0,0,0,0,0,0,0,0,87,6,0.7126436781609196,1.0,0.42857142857142855,0.42857142857142855,0.15254237288135594,0.15254237288135594,0.367816091954023,32,0.367816091954023,32940,2088,0.7499158249158249,9,32,9
transfer_2048,42,L_direct,G_random,0.1,2,travel,163,0,20,157,8,155,2,12,0,0,18,159,18,0,0,0,0,12,147,16,2,0,0,0,0,0,0,0,177,6,0.9209039548022598,1.0,0.4,0.4,0.012738853503184714,0.012738853503184714,0.1016949152542373,18,0.1016949152542373,47805,1337,0.9150378858649861,0,0,0
transfer_2048,42,L_direct,G_random,0.1,3,combined,226,0,48,216,21,205,11,27,0,0,50,246,18,11,1,0,0,34,210,16,2,0,0,0,0,0,0,0,264,12,0.8560606060606061,1.0,0.4375,0.4375,0.05092592592592592,0.05092592592592592,0.1893939393939394,50,0.1893939393939394,81092,3474,0.8483859462994965,10,32,10
transfer_2048,42,L_direct,G_random,0.1,3,banking,63,0,28,59,13,50,9,15,0,0,32,87,0,11,1,0,0,22,63,0,0,0,0,0,0,0,0,0,87,6,0.7241379310344828,1.0,0.4642857142857143,0.4642857142857143,0.15254237288135594,0.15254237288135594,0.367816091954023,32,0.367816091954023,33287,2137,0.7817340067340067,10,32,10
transfer_2048,42,L_direct,G_random,0.1,3,travel,163,0,20,157,8,155,2,12,0,0,18,159,18,0,0,0,0,12,147,16,2,0,0,0,0,0,0,0,177,6,0.9209039548022598,1.0,0.4,0.4,0.012738853503184714,0.012738853503184714,0.1016949152542373,18,0.1016949152542373,47805,1337,0.9150378858649861,0,0,0
transfer_2048,42,L_direct,G_random,0.1,4,combined,226,0,48,216,22,204,12,26,0,0,50,246,18,10,0,0,0,33,210,16,2,0,0,0,0,0,0,0,264,12,0.8560606060606061,1.0,0.4583333333333333,0.4583333333333333,0.05555555555555555,0.05555555555555555,0.1893939393939394,50,0.1893939393939394,83562,3438,0.8442192796328298,10,32,10
transfer_2048,42,L_direct,G_random,0.1,4,banking,63,0,28,59,14,49,10,14,0,0,32,87,0,10,0,0,0,21,63,0,0,0,0,0,0,0,0,0,87,6,0.7241379310344828,1.0,0.5,0.5,0.1694915254237288,0.1694915254237288,0.367816091954023,32,0.367816091954023,35757,2101,0.7734006734006734,10,32,10
transfer_2048,42,L_direct,G_random,0.1,4,travel,163,0,20,157,8,155,2,12,0,0,18,159,18,0,0,0,0,12,147,16,2,0,0,0,0,0,0,0,177,6,0.9209039548022598,1.0,0.4,0.4,0.012738853503184714,0.012738853503184714,0.1016949152542373,18,0.1016949152542373,47805,1337,0.9150378858649861,0,0,0
transfer_2048,42,L_direct,G_random,0.1,5,combined,226,0,48,216,22,204,12,26,0,0,50,246,18,11,1,0,0,34,210,16,2,0,0,0,0,0,0,0,264,12,0.8560606060606061,1.0,0.4583333333333333,0.4583333333333333,0.05555555555555555,0.05555555555555555,0.1893939393939394,50,0.1893939393939394,79963,3452,0.8415677644813147,10,32,10
transfer_2048,42,L_direct,G_random,0.1,5,banking,63,0,28,59,14,49,10,14,0,0,32,87,0,11,1,0,0,22,63,0,0,0,0,0,0,0,0,0,87,6,0.7241379310344828,1.0,0.5,0.5,0.1694915254237288,0.1694915254237288,0.367816091954023,32,0.367816091954023,32158,2115,0.7680976430976431,10,32,10
transfer_2048,42,L_direct,G_random,0.1,5,travel,163,0,20,157,8,155,2,12,0,0,18,159,18,0,0,0,0,12,147,16,2,0,0,0,0,0,0,0,177,6,0.9209039548022598,1.0,0.4,0.4,0.012738853503184714,0.012738853503184714,0.1016949152542373,18,0.1016949152542373,47805,1337,0.9150378858649861,0,0,0
transfer_2048,42,L_direct,G_random,0.1,6,combined,226,0,48,216,21,205,11,27,0,0,50,246,18,11,1,0,0,34,210,16,2,0,0,0,0,0,0,0,264,12,0.8560606060606061,1.0,0.4375,0.4375,0.05092592592592592,0.05092592592592592,0.1893939393939394,50,0.1893939393939394,85376,3454,0.8309196163331665,10,32,10
transfer_2048,42,L_direct,G_random,0.1,6,banking,63,0,28,59,13,50,9,15,0,0,32,87,0,11,1,0,0,22,63,0,0,0,0,0,0,0,0,0,87,6,0.7241379310344828,1.0,0.4642857142857143,0.4642857142857143,0.15254237288135594,0.15254237288135594,0.367816091954023,32,0.367816091954023,37571,2117,0.7468013468013468,10,32,10
