domain,input_length,protocol,model,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction,group_macro_unsafe_recall_all,group_macro_unsafe_recall_all_eligible_groups,group_macro_FPR_all,group_macro_FPR_all_eligible_groups,group_macro_coverage,group_macro_coverage_eligible_groups,new_requests
combined,short,direct,L_direct_short,56,0,17,47,16,40,7,1,0,0,64,64,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,64,12,0.875,1.0,0.9411764705882353,0.9411764705882353,0.14893617021276595,0.14893617021276595,1.0,64,1.0,38292,3771,0.875,0,0.9583333333333334,8,0.13055555555555556,12,1.0,12,0
combined,short,relation,L_relation_short,55,4,17,47,16,39,5,0,1,3,64,64,0,0,0,0,0,0,55,0,0,0,0,0,0,4,0,0,64,12,0.859375,0.9375,0.9411764705882353,1.0,0.10638297872340426,0.11363636363636363,1.0,64,1.0,48276,23667,0.8611111111111112,0,0.9583333333333334,8,0.09305555555555556,12,0.9388888888888889,12,64
combined,long,direct,L_direct,58,0,17,47,16,42,5,1,0,0,64,64,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,64,12,0.90625,1.0,0.9411764705882353,0.9411764705882353,0.10638297872340426,0.10638297872340426,1.0,64,1.0,81445,4190,0.9111111111111111,0,0.9583333333333334,8,0.08888888888888889,12,1.0,12,0
combined,long,relation,L_relation,59,1,17,47,16,43,3,1,0,1,64,64,0,0,0,0,0,0,59,0,0,0,0,0,0,1,0,0,64,12,0.921875,0.984375,0.9411764705882353,0.9411764705882353,0.06382978723404255,0.06521739130434782,1.0,64,1.0,91429,25669,0.9222222222222223,0,0.9583333333333334,8,0.058333333333333334,12,0.9833333333333334,12,0
banking,short,direct,L_direct_short,28,0,14,18,13,15,3,1,0,0,32,32,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,32,6,0.875,1.0,0.9285714285714286,0.9285714285714286,0.16666666666666666,0.16666666666666666,1.0,32,1.0,18447,1942,0.8722222222222222,0,0.9333333333333333,5,0.11666666666666667,6,1.0,6,0
banking,short,relation,L_relation_short,27,4,14,18,13,14,1,0,1,3,32,32,0,0,0,0,0,0,27,0,0,0,0,0,0,4,0,0,32,6,0.84375,0.875,0.9285714285714286,1.0,0.05555555555555555,0.06666666666666667,1.0,32,1.0,23439,11928,0.8444444444444444,0,0.9333333333333333,5,0.041666666666666664,6,0.8777777777777778,6,32
banking,long,direct,L_direct,29,0,14,18,13,16,2,1,0,0,32,32,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,32,6,0.90625,1.0,0.9285714285714286,0.9285714285714286,0.1111111111111111,0.1111111111111111,1.0,32,1.0,36879,2101,0.9055555555555556,0,0.9333333333333333,5,0.08333333333333333,6,1.0,6,0
banking,long,relation,L_relation,28,1,14,18,13,15,2,1,0,1,32,32,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,0,32,6,0.875,0.96875,0.9285714285714286,0.9285714285714286,0.1111111111111111,0.11764705882352941,1.0,32,1.0,41871,13143,0.8722222222222222,0,0.9333333333333333,5,0.08333333333333333,6,0.9666666666666667,6,0
travel,short,direct,L_direct_short,28,0,3,29,3,25,4,0,0,0,32,32,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,32,6,0.875,1.0,1.0,1.0,0.13793103448275862,0.13793103448275862,1.0,32,1.0,19845,1829,0.8777777777777778,0,1.0,3,0.14444444444444443,6,1.0,6,0
travel,short,relation,L_relation_short,28,0,3,29,3,25,4,0,0,0,32,32,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,32,6,0.875,1.0,1.0,1.0,0.13793103448275862,0.13793103448275862,1.0,32,1.0,24837,11739,0.8777777777777778,0,1.0,3,0.14444444444444443,6,1.0,6,32
travel,long,direct,L_direct,29,0,3,29,3,26,3,0,0,0,32,32,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,32,6,0.90625,1.0,1.0,1.0,0.10344827586206896,0.10344827586206896,1.0,32,1.0,44566,2089,0.9166666666666666,0,1.0,3,0.09444444444444444,6,1.0,6,0
travel,long,relation,L_relation,31,0,3,29,3,28,1,0,0,0,32,32,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,32,6,0.96875,1.0,1.0,1.0,0.034482758620689655,0.034482758620689655,1.0,32,1.0,49558,12526,0.9722222222222222,0,1.0,3,0.03333333333333333,6,1.0,6,0
