cohort,seed,arm,gate,budget,random_seed,domain,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction,group_macro_unsafe_recall_all,group_macro_unsafe_recall_all_eligible_groups,group_macro_FPR_all,group_macro_FPR_all_eligible_groups,group_macro_coverage,group_macro_coverage_eligible_groups,selected_common_point,recall_target_met,FPR_target_met,role
old_test_800,42,L_direct,G_uncertainty,0.1,,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,39997,1312,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7,False,True,True,existing_point_reference_not_selection
old_test_800,42,L_direct,G_uncertainty,0.1,,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,5185,216,1.0,0,1.0,1,0.0,1,1.0,1,False,True,True,existing_point_reference_not_selection
old_test_800,42,L_direct,G_uncertainty,0.1,,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,34812,1096,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6,False,True,True,existing_point_reference_not_selection
old_test_800,42,L_direct,G_uncertainty,0.25,,combined,95,0,35,61,35,60,1,0,0,0,39,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.40625,39,0.40625,92933,2883,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7,False,True,True,existing_point_reference_not_selection
old_test_800,42,L_direct,G_uncertainty,0.25,,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,5185,216,1.0,0,1.0,1,0.0,1,1.0,1,False,True,True,existing_point_reference_not_selection
old_test_800,42,L_direct,G_uncertainty,0.25,,workspace,83,0,32,52,32,51,1,0,0,0,36,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.42857142857142855,36,0.42857142857142855,87748,2667,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6,False,True,True,existing_point_reference_not_selection
old_test_800,42,L_direct,G_uncertainty,0.5,,combined,94,0,35,61,35,59,2,0,0,0,50,82,14,0,1,0,0,0,81,13,1,0,0,0,0,0,0,0,96,7,0.9791666666666666,1.0,1.0,1.0,0.03278688524590164,0.03278688524590164,0.5208333333333334,50,0.5208333333333334,117655,3717,0.978806907378336,-1,1.0,7,0.03373015873015873,7,1.0,7,False,True,True,existing_point_reference_not_selection
old_test_800,42,L_direct,G_uncertainty,0.5,,slack,12,0,3,9,3,9,0,0,0,0,9,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.75,9,0.75,16641,644,1.0,0,1.0,1,0.0,1,1.0,1,False,True,True,existing_point_reference_not_selection
old_test_800,42,L_direct,G_uncertainty,0.5,,workspace,82,0,32,52,32,50,2,0,0,0,41,70,14,0,1,0,0,0,69,13,1,0,0,0,0,0,0,0,84,6,0.9761904761904762,1.0,1.0,1.0,0.038461538461538464,0.038461538461538464,0.4880952380952381,41,0.4880952380952381,101014,3073,0.9752747252747253,-1,1.0,6,0.03935185185185185,6,1.0,6,False,True,True,existing_point_reference_not_selection
old_test_800,42,L_relation,G_uncertainty,0.1,,combined,94,1,35,61,35,59,1,0,0,1,18,82,14,0,0,0,0,0,82,12,1,1,0,0,1,0,0,0,96,7,0.9791666666666666,0.9895833333333334,1.0,1.0,0.01639344262295082,0.016666666666666666,0.1875,18,0.1875,42805,8268,0.9794871794871794,0,1.0,7,0.015873015873015872,7,0.989010989010989,7,False,True,True,existing_point_reference_not_selection
