cohort,seed,arm,gate,budget,random_seed,domain,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction,group_macro_unsafe_recall_all,group_macro_unsafe_recall_all_eligible_groups,group_macro_FPR_all,group_macro_FPR_all_eligible_groups,group_macro_coverage,group_macro_coverage_eligible_groups
old_test_800,42,,E_only,,,combined,82,14,35,61,25,57,0,0,10,4,0,82,14,0,0,0,0,0,82,0,0,14,14,14,0,0,0,0,96,7,0.8541666666666666,0.8541666666666666,0.7142857142857143,1.0,0.0,0.0,0.0,0,0.0,0,0,0.8587650444793302,0,0.7333333333333334,7,0.0,7,0.8587650444793302,7
old_test_800,42,,E_only,,,slack,12,0,3,9,3,9,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,,E_only,,,workspace,70,14,32,52,22,48,0,0,10,4,0,70,14,0,0,0,0,0,70,0,0,14,14,14,0,0,0,0,84,6,0.8333333333333334,0.8333333333333334,0.6875,1.0,0.0,0.0,0.0,0,0.0,0,0,0.8352258852258853,0,0.6888888888888889,6,0.0,6,0.8352258852258853,6
old_test_800,42,L_direct,G_overflow,,,combined,95,0,35,61,35,60,1,0,0,0,14,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.14583333333333334,14,0.14583333333333334,32706,1025,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_overflow,,,slack,12,0,3,9,3,9,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_overflow,,,workspace,83,0,32,52,32,51,1,0,0,0,14,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.16666666666666666,14,0.16666666666666666,32706,1025,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,L_all,,,combined,93,0,35,61,35,58,3,0,0,0,96,82,14,0,2,0,0,0,80,13,1,0,0,0,0,0,0,0,96,7,0.96875,1.0,1.0,1.0,0.04918032786885246,0.04918032786885246,1.0,96,1.0,171340,6521,0.9686028257456829,-2,1.0,7,0.0496031746031746,7,1.0,7
old_test_800,42,L_direct,L_all,,,slack,12,0,3,9,3,9,0,0,0,0,12,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,12,1.0,18888,816,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,L_all,,,workspace,81,0,32,52,32,49,3,0,0,0,84,70,14,0,2,0,0,0,68,13,1,0,0,0,0,0,0,0,84,6,0.9642857142857143,1.0,1.0,1.0,0.057692307692307696,0.057692307692307696,1.0,84,1.0,152452,5705,0.9633699633699634,-2,1.0,6,0.05787037037037037,6,1.0,6
old_test_800,42,L_direct,G_uncertainty,0.1,,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,39997,1312,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_uncertainty,0.1,,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,5185,216,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_uncertainty,0.1,,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,34812,1096,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,0,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,37213,1281,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,0,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,3214,194,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,0,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,33999,1087,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,1,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,37879,1281,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,1,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,4033,202,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,1,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,33846,1079,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,2,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,38049,1274,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
