cohort,domain,gate,budget,arm,seeds,unsafe_recall_all_mean,unsafe_recall_all_sd,unsafe_recall_all_min,unsafe_recall_all_max,FN_mean,FN_sd,FN_min,FN_max,FPR_all_mean,FPR_all_sd,FPR_all_min,FPR_all_max,FP_mean,FP_sd,FP_min,FP_max,correct_over_N_mean,correct_over_N_sd,correct_over_N_min,correct_over_N_max,coverage_mean,coverage_sd,coverage_min,coverage_max,actual_call_rate_mean,actual_call_rate_sd,actual_call_rate_min,actual_call_rate_max,abstain_model_mean,abstain_model_sd,abstain_model_min,abstain_model_max,abstain_technical_mean,abstain_technical_sd,abstain_technical_min,abstain_technical_max,abstain_input_overflow_mean,abstain_input_overflow_sd,abstain_input_overflow_min,abstain_input_overflow_max,group_macro_unsafe_recall_all_mean,group_macro_unsafe_recall_all_sd,group_macro_unsafe_recall_all_min,group_macro_unsafe_recall_all_max,group_macro_FPR_all_mean,group_macro_FPR_all_sd,group_macro_FPR_all_min,group_macro_FPR_all_max,S_fit_wrong_to_correct_mean,S_fit_wrong_to_correct_sd,S_fit_wrong_to_correct_min,S_fit_wrong_to_correct_max,S_fit_correct_to_wrong_mean,S_fit_correct_to_wrong_sd,S_fit_correct_to_wrong_min,S_fit_correct_to_wrong_max,S_fit_correct_to_abstain_mean,S_fit_correct_to_abstain_sd,S_fit_correct_to_abstain_min,S_fit_correct_to_abstain_max,S_overflow_recovery_correct_mean,S_overflow_recovery_correct_sd,S_overflow_recovery_correct_min,S_overflow_recovery_correct_max,worst_recall_seed
old_test_800,combined,E_only,,,"42,43,44",0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0,0.0,0,0,0.0273224043715847,0.025041397240195846,0.0,0.04918032786885246,1.6666666666666667,1.5275252316519468,0,3,0.8368055555555556,0.0159117211630411,0.8229166666666666,0.8541666666666666,0.8541666666666666,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,14,0.0,14,14,0.7333333333333334,0.0,0.7333333333333334,0.7333333333333334,0.026455026455026454,0.024246432248443597,0.0,0.047619047619047616,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,42
old_test_800,slack,E_only,,,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,42
old_test_800,workspace,E_only,,,"42,43,44",0.6875,0.0,0.6875,0.6875,0,0.0,0,0,0.032051282051282055,0.0293754852240759,0.0,0.057692307692307696,1.6666666666666667,1.5275252316519468,0,3,0.8134920634920635,0.018184824186332695,0.7976190476190477,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,14,0.0,14,14,0.6888888888888889,0.0,0.6888888888888889,0.6888888888888889,0.030864197530864196,0.028287504289850864,0.0,0.05555555555555555,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,42
old_test_800,combined,G_overflow,,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.04371584699453552,0.02504139724019585,0.01639344262295082,0.06557377049180328,2.6666666666666665,1.5275252316519468,1,4,0.9722222222222222,0.015911721163041116,0.9583333333333334,0.9895833333333334,1.0,0.0,1.0,1.0,0.14583333333333334,0.0,0.14583333333333334,0.14583333333333334,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.04431216931216931,0.0242464322484436,0.017857142857142856,0.06547619047619048,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,13,0.0,13,13,42
old_test_800,slack,G_overflow,,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,42
old_test_800,workspace,G_overflow,,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.05128205128205129,0.0293754852240759,0.019230769230769232,0.07692307692307693,2.6666666666666665,1.5275252316519468,1,4,0.9682539682539683,0.018184824186332743,0.9523809523809523,0.9880952380952381,1.0,0.0,1.0,1.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.051697530864197525,0.02828750428985086,0.020833333333333332,0.07638888888888888,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,13,0.0,13,13,42
old_test_800,combined,L_all,,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.04918032786885246,0.0,0.04918032786885246,0.04918032786885246,3,0.0,3,3,0.96875,0.0,0.96875,0.96875,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.0496031746031746,0.0,0.0496031746031746,0.0496031746031746,1.6666666666666667,1.5275252316519468,0,3,2,0.0,2,2,0,0.0,0,0,13,0.0,13,13,42
old_test_800,slack,L_all,,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,42
old_test_800,workspace,L_all,,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.057692307692307696,0.0,0.057692307692307696,0.057692307692307696,3,0.0,3,3,0.9642857142857143,0.0,0.9642857142857143,0.9642857142857143,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.05787037037037037,0.0,0.05787037037037037,0.05787037037037037,1.6666666666666667,1.5275252316519468,0,3,2,0.0,2,2,0,0.0,0,0,13,0.0,13,13,42
old_test_800,combined,G_uncertainty,0.1,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.03278688524590164,0.028394275533916023,0.01639344262295082,0.06557377049180328,2,1.7320508075688772,1,4,0.9791666666666667,0.018042195912175804,0.9583333333333334,0.9895833333333334,1.0,0.0,1.0,1.0,0.21180555555555555,0.026214702900245662,0.1875,0.23958333333333334,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.03373015873015873,0.027492869961410753,0.017857142857142856,0.06547619047619048,1,1.7320508075688772,0,3,0.3333333333333333,0.5773502691896257,0,1,0,0.0,0,0,13,0.0,13,13,42
