cohort,seed,arm,gate,budget,random_seed,group_id,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction
old_test_800,42,,E_only,,,task_43393231507e,12,0,3,9,3,9,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0
old_test_800,42,,E_only,,,task_c02022c3f50c,12,2,5,9,3,9,0,0,2,0,0,12,2,0,0,0,0,0,12,0,0,2,2,2,0,0,0,0,14,1,0.8571428571428571,0.8571428571428571,0.6,1.0,0.0,0.0,0.0,0,0.0,0,0,0.8571428571428571,0
old_test_800,42,,E_only,,,task_0656c16cd48a,12,3,6,9,3,9,0,0,3,0,0,12,3,0,0,0,0,0,12,0,0,3,3,3,0,0,0,0,15,1,0.8,0.8,0.5,1.0,0.0,0.0,0.0,0,0.0,0,0,0.8,0
old_test_800,42,,E_only,,,task_c9c6fe9c0d10,11,4,6,9,5,6,0,0,1,3,0,11,4,0,0,0,0,0,11,0,0,4,4,4,0,0,0,0,15,1,0.7333333333333333,0.7333333333333333,0.8333333333333334,1.0,0.0,0.0,0.0,0,0.0,0,0,0.7333333333333333,0
old_test_800,42,,E_only,,,task_f854634584d5,11,2,5,8,4,7,0,0,1,1,0,11,2,0,0,0,0,0,11,0,0,2,2,2,0,0,0,0,13,1,0.8461538461538461,0.8461538461538461,0.8,1.0,0.0,0.0,0.0,0,0.0,0,0,0.8461538461538461,0
old_test_800,42,,E_only,,,task_ef21473444d6,13,1,5,9,4,9,0,0,1,0,0,13,1,0,0,0,0,0,13,0,0,1,1,1,0,0,0,0,14,1,0.9285714285714286,0.9285714285714286,0.8,1.0,0.0,0.0,0.0,0,0.0,0,0,0.9285714285714286,0
old_test_800,42,,E_only,,,task_c220a8e8b789,11,2,5,8,3,8,0,0,2,0,0,11,2,0,0,0,0,0,11,0,0,2,2,2,0,0,0,0,13,1,0.8461538461538461,0.8461538461538461,0.6,1.0,0.0,0.0,0.0,0,0.0,0,0,0.8461538461538461,0
old_test_800,42,L_direct,G_overflow,,,task_43393231507e,12,0,3,9,3,9,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0
old_test_800,42,L_direct,G_overflow,,,task_c02022c3f50c,14,0,5,9,5,9,0,0,0,0,2,12,2,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,14,1,1.0,1.0,1.0,1.0,0.0,0.0,0.14285714285714285,2,0.14285714285714285,3464,134,1.0,0
old_test_800,42,L_direct,G_overflow,,,task_0656c16cd48a,15,0,6,9,6,9,0,0,0,0,3,12,3,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,15,1,1.0,1.0,1.0,1.0,0.0,0.0,0.2,3,0.2,6225,195,1.0,0
old_test_800,42,L_direct,G_overflow,,,task_c9c6fe9c0d10,15,0,6,9,6,9,0,0,0,0,4,11,4,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,15,1,1.0,1.0,1.0,1.0,0.0,0.0,0.26666666666666666,4,0.26666666666666666,9222,301,1.0,0
old_test_800,42,L_direct,G_overflow,,,task_f854634584d5,12,0,5,8,5,7,1,0,0,0,2,11,2,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,13,1,0.9230769230769231,1.0,1.0,1.0,0.125,0.125,0.15384615384615385,2,0.15384615384615385,4645,167,0.9230769230769231,0
old_test_800,42,L_direct,G_overflow,,,task_ef21473444d6,14,0,5,9,5,9,0,0,0,0,1,13,1,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,14,1,1.0,1.0,1.0,1.0,0.0,0.0,0.07142857142857142,1,0.07142857142857142,2603,71,1.0,0
old_test_800,42,L_direct,G_overflow,,,task_c220a8e8b789,13,0,5,8,5,8,0,0,0,0,2,11,2,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,13,1,1.0,1.0,1.0,1.0,0.0,0.0,0.15384615384615385,2,0.15384615384615385,6547,157,1.0,0
