cohort,seed,gate,budget,random_seed,domain,N,contrast,corrected,introduced,correct_to_abstain,wrong_to_abstain,abstain_to_correct,TP_delta,FP_delta,fit_corrected,fit_introduced
old_test_800,42,G_overflow,,,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_overflow,,,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_overflow,,,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,L_all,,,combined,96,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,L_all,,,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,L_all,,,workspace,84,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_uncertainty,0.1,,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_uncertainty,0.1,,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_uncertainty,0.1,,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,0,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,0,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,0,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,1,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,1,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,1,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,2,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,2,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,2,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,3,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,3,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,3,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,4,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,4,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,4,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,5,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,5,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,5,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,6,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,6,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,6,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,7,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,7,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,7,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,8,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,8,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,8,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,9,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,9,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,9,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,10,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,10,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,10,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,11,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,11,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,11,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,12,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,12,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,12,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,13,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,13,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,13,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,14,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,14,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,14,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,15,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,15,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,15,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,16,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,16,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,16,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,17,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,17,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,17,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,18,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,18,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,18,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,19,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.1,19,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.1,19,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_uncertainty,0.25,,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_uncertainty,0.25,,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_uncertainty,0.25,,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,0,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,0,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,0,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,1,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,1,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,1,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,2,combined,96,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,2,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,2,workspace,84,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,3,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,3,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,3,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,4,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,4,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,4,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,5,combined,96,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,5,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,5,workspace,84,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,6,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,6,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,6,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,7,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,7,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,7,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,8,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,8,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,8,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,9,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,9,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,9,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,10,combined,96,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,10,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,10,workspace,84,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,11,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,11,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,11,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,12,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,12,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,12,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,13,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,13,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,13,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,14,combined,96,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,14,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,14,workspace,84,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,15,combined,96,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,15,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,15,workspace,84,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,16,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,16,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,16,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.25,17,combined,96,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,17,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,17,workspace,84,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,18,combined,96,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,18,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,18,workspace,84,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,19,combined,96,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.25,19,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.25,19,workspace,84,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_uncertainty,0.5,,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_uncertainty,0.5,,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_uncertainty,0.5,,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.5,0,combined,96,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.5,0,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.5,0,workspace,84,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.5,1,combined,96,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.5,1,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.5,1,workspace,84,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.5,2,combined,96,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.5,2,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.5,2,workspace,84,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.5,3,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.5,3,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.5,3,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.5,4,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.5,4,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.5,4,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.5,5,combined,96,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.5,5,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.5,5,workspace,84,relation_minus_direct_same_route,1,1,0,1,0,0,-1,1,0
old_test_800,42,G_random,0.5,6,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.5,6,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.5,6,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.5,7,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.5,7,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.5,7,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.5,8,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.5,8,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.5,8,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.5,9,combined,96,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
old_test_800,42,G_random,0.5,9,slack,12,relation_minus_direct_same_route,0,0,0,0,0,0,0,0,0
old_test_800,42,G_random,0.5,9,workspace,84,relation_minus_direct_same_route,0,1,0,1,0,0,0,0,0
